Distance (m), Temperature (K), Velocity (m/s), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO
0.000000000000000000e+00,3.000000000000000000e+02,3.821534083483739686e-01,2.639741893046909143e-11,1.178064953196766476e-14,-6.790649319883659874e-14,2.201412376794665560e-01,1.263835880434235974e-13,7.989072155374655164e-15,6.013044534347365469e-15,-9.699274478069321303e-14,-2.149168548913566994e-14,5.602937776010824934e-19,2.516875917651934149e-14,4.025783462719014626e-19,-1.350223297212373429e-13,5.518666598143927987e-02,-1.434400816090939065e-15,3.626241304441640005e-16,5.715614431431838501e-19,6.531533429605823335e-13,6.027409748326984955e-19,6.165954103678406707e-19,3.113438969143659055e-14,-3.413859986600322185e-14,-9.428672415980957006e-15,5.599704767279695313e-19,2.833665516417289098e-13,5.445054951862394878e-19,1.449855892891307760e-13,1.292728190719111085e-18,-6.263561451430824171e-15,1.538112240332909056e-14,-3.087139823022011843e-14,3.176596420818332070e-13,-3.630073159687136641e-15,2.887761522246446628e-15,7.458033461602448627e-19,7.912080033251145631e-15,6.867382041493411439e-14,5.186390675054465450e-16,1.809210222552850631e-14,2.138878299928958568e-14,1.750240258795465969e-15,-4.374366596037557455e-14,1.292828765361434475e-18,-1.572434188514510923e-17,1.034403343155486530e-18,-9.909462463318824061e-15,3.601383272557861923e-16,7.246720963121189296e-01,1.019258249128366868e-18,-7.455745929459104180e-13,3.930024849042803420e-14,7.240786830538333436e-19,4.285110481197608236e-17
4.000000000000000083e-03,2.999999999822756536e+02,3.821534108419020748e-01,5.436801392968943404e-10,2.172313412218454338e-19,-9.531864229156801040e-14,2.201412375466290094e-01,2.489510144799876314e-15,5.466023489056076943e-13,4.467583789533510847e-13,-9.691470708558877533e-14,-1.228583374161593105e-20,1.138781356741642148e-25,2.964530728782326116e-19,1.384752066022639326e-25,2.450371778377262930e-12,5.518666596191048462e-02,-1.068728510292232964e-13,3.524535848832313646e-14,-7.202538666263565323e-20,6.632181014710470043e-13,3.084162848584880255e-24,1.381541688042809769e-18,3.113596341980802731e-14,-1.204110241404804267e-20,-9.428199024602305856e-15,2.511369196307413153e-24,2.833771826442405275e-13,9.292083355806625395e-20,-2.016557590758969094e-12,3.501886137209157531e-23,-6.263092145007815425e-15,1.538158668426210635e-14,-6.217526817525625417e-15,7.126835125777041154e-16,-3.629312710792032230e-15,2.888075598632959456e-15,3.224146363896862868e-25,5.937324984504407660e-13,6.867343098712702061e-14,5.191840647342244240e-16,1.817643968962199682e-14,2.088835960441919446e-20,1.754776953016271444e-15,-4.371578958602471967e-14,2.388979898316289840e-24,-1.516912326899223792e-17,1.589582426700399456e-18,-9.908906218947438880e-15,3.501225707890546932e-14,7.246720959456854905e-01,1.674740979204576568e-18,-7.456024488384273579e-13,3.930078168770532047e-14,5.066883544604710706e-22,4.333552539834788385e-17
8.000000000000000167e-03,2.999999999664329948e+02,3.821534626270615687e-01,1.119672750366733512e-08,9.446933105685851324e-23,-9.051826972648399920e-14,2.201412348317835777e-01,-3.858467466213188421e-17,2.163480899596535488e-12,4.491851014065851151e-13,-9.566702531976928348e-14,3.516865968017030184e-25,9.481851868338103684e-26,1.170297646419722742e-23,8.783784444182618328e-26,5.535946861388186317e-12,5.518666556859500721e-02,4.939256026584571926e-14,3.742644236270621689e-14,1.023859918623793805e-23,6.638191256639354206e-13,2.606970682408563086e-24,2.446987462805783108e-18,3.117253005869321414e-14,2.509752985003117065e-25,-9.417292575826464289e-15,2.091027350293557336e-24,2.834368393499394011e-13,-1.841895361481444494e-20,-5.118223583637680489e-12,2.915829168268844017e-23,-6.261727011683097686e-15,1.538237974668360878e-14,-1.254024502426449953e-15,1.612438375468850246e-18,-3.613915607983581756e-15,2.888991812227135086e-15,2.678738731876570319e-25,5.844912847184389893e-13,6.867832809153837365e-14,5.201169740553059450e-16,1.817155498131408519e-14,9.196579062866679988e-25,1.756637363857617948e-15,-4.370737685296786002e-14,1.989175779621223493e-24,-1.425360740039124954e-17,2.501298834361753720e-18,-9.907943789917324158e-15,3.501434075418472722e-14,7.246720883990381834e-01,2.673446913158224269e-18,-7.456234527037304867e-13,3.930167088086877818e-14,4.219799386845431645e-22,4.442960070215521834e-17
1.000000000000000021e-02,3.000000004783274790e+02,3.821538698354353669e-01,9.480020744522638964e-08,-3.321671359938061209e-24,-8.589912545931325714e-14,2.201412135121313396e-01,-5.302773354479381946e-17,4.405465903487326279e-11,5.118536699595708843e-13,-6.088521324148635612e-14,-5.887956888742227771e-24,-1.556095932186847887e-24,-1.335513100468053456e-22,-1.393606413723827819e-24,7.129285650501156867e-12,5.518666247202502761e-02,4.429473090046945926e-12,1.172883192691071665e-13,-1.705870947532024832e-22,6.736346330677997509e-13,-4.256380231654247195e-23,2.795969589531298369e-18,3.251798888436749279e-14,-4.188949847902113927e-24,-9.064599938301475013e-15,-3.431778977558878092e-23,2.856061087043422223e-13,-1.947616624188977721e-19,-6.716051757098816402e-12,-4.785196897914180253e-22,-6.244899527704187825e-15,1.537465900656925716e-14,-4.251451645823883754e-16,-2.453782586159258480e-20,-3.359938238823778655e-15,2.896378978619153937e-15,-4.396268577900611579e-24,5.829004550018174046e-13,6.879569997527026972e-14,5.108977108961400691e-16,1.816096865456532344e-14,-1.475657523180687324e-23,1.755182983193434877e-15,-4.371181676588775978e-14,-3.264500636859627923e-23,-2.327965778887615440e-17,-6.665306919304505934e-18,-9.915656978557378147e-15,3.499351558845148883e-14,7.246720291653181434e-01,-7.973966982554997465e-18,-7.456386359467208743e-13,3.929557539226931644e-14,-6.921181681661551703e-21,4.805354626378412584e-17
1.099999999999999936e-02,3.000000075098865864e+02,3.821555757812458154e-01,4.437556457634667704e-07,9.812638991635576333e-23,-7.765317124129457060e-14,2.201411243372653204e-01,-4.710689111637949364e-17,5.946144647882593549e-10,1.405711615640987950e-12,4.376792133340084461e-13,1.906638723023688257e-24,5.037951316881415272e-25,4.328847857610855760e-23,4.540115369849956102e-25,7.954226565849369572e-12,5.518664942003098650e-02,6.694110763539637343e-11,1.601397742412965061e-12,5.520827000355001838e-23,8.552803460065595792e-13,1.379872341650121493e-23,5.426297118562327466e-18,5.838553251421640700e-14,1.356216592401817555e-24,-2.746739004367367397e-15,1.111518043262540619e-23,3.255942136927166299e-13,-1.013240762011958831e-19,-7.461958823149692260e-12,1.549144108035731730e-22,-5.708678165493437860e-15,1.537795585378699962e-14,-2.147876532338983174e-16,1.047642359052468861e-20,-1.005083657344284268e-15,3.065321570621758072e-15,1.423624152096449690e-24,5.857264781187283471e-13,7.096420745747981455e-14,5.170730294232358719e-16,1.817567017430285733e-14,4.779130540185975619e-24,1.833509637114952017e-15,-4.370894220386979052e-14,1.056741748481988861e-23,-1.678279819057346814e-17,-2.791073236630802999e-18,-9.885557319266743667e-15,3.500212520763761711e-14,7.246717818204421180e-01,-2.979991118257965061e-18,-7.456361845615673561e-13,3.931792041155764416e-14,2.236396767872398504e-21,3.065479522469588085e-16
1.200000000000000025e-02,3.000001344198261108e+02,3.821657483211310380e-01,2.502127460958509918e-06,1.384717110414510989e-21,3.789607503075636258e-15,2.201405948629561460e-01,2.154927797518644624e-17,1.042473330652113963e-08,1.877978237510543638e-11,1.007590689402477992e-11,9.294642754763253242e-23,2.456450368494755241e-23,2.108902891541416976e-21,2.203665401671050362e-23,9.428696231341233869e-12,5.518657018221290872e-02,1.277302498590999254e-09,3.886134159412261780e-11,2.692070290703987767e-21,5.464751153893590813e-12,6.721101787306344894e-22,6.227869796589455627e-17,7.267568808145921408e-13,6.612861535531221322e-23,1.476927602331129238e-13,5.417449959251966993e-22,1.313013359123785790e-12,8.829020975708707379e-19,-7.051954925902742503e-12,7.552919134951940193e-21,9.955136161069510188e-15,1.543760633156533539e-14,-9.186852233989823547e-17,4.985152164081921776e-19,2.807369657787934391e-14,6.142929323469698919e-15,6.939845445586311101e-23,6.493506594966053766e-13,1.204525801962575584e-13,6.348388101886581510e-16,1.845897142026254869e-14,2.329323688510092179e-22,3.826469481280333209e-15,-4.366827116871300073e-14,5.153265852195872601e-22,1.093216188119615594e-16,5.717194089871976623e-17,-9.167240532273139128e-15,3.513650557953607750e-14,7.246703210474499945e-01,6.210009710789485841e-17,-7.455424883777625192e-13,4.004633648138941171e-14,1.091250776842221371e-19,7.903664516135664968e-15
1.250000000000000069e-02,3.000010081401533171e+02,3.821902638069759606e-01,7.312735485654750712e-06,-3.868042836294220376e-21,4.022506951662614198e-13,2.201393330665051828e-01,4.419813681039672283e-16,7.747211767598122929e-08,1.468546042664149299e-10,8.153302982907811219e-11,-3.325245065142613000e-22,-8.787876678505557219e-23,-7.543557851147254617e-21,-7.878460256111097209e-23,1.464504671533868414e-11,5.518636979518445201e-02,1.021692247003393628e-08,3.943132954260519910e-10,-9.623534445347751693e-21,4.992528666188899636e-11,-2.404621053433240598e-21,8.167192653295161939e-16,7.286182713587071542e-12,-2.365664206924870036e-22,1.509630645405297527e-12,-1.938499659217134415e-21,1.057858572521606622e-11,-1.252045923928102658e-17,4.525098327638393959e-12,-2.701729788403113647e-20,1.832293630711875781e-13,1.542567005478397009e-14,-1.060311085489369733e-16,-1.756724097954009050e-18,1.661778563938782116e-13,2.737314293365026922e-14,-2.482646480263238340e-22,1.122925239941007180e-12,5.497119025503910663e-13,1.061759452893732725e-15,2.006802606651334242e-14,-8.332819656346548235e-22,2.289637354086071223e-14,-4.372018068783287235e-14,-1.843651095716153639e-21,6.272977959151431984e-16,-5.854634323630611917e-17,-2.981634996898808890e-15,3.486901227516187362e-14,7.246668960007145444e-01,-8.129737667789962806e-17,-7.454345229715446993e-13,4.880865961943510682e-14,-3.895521461618922231e-19,9.230227158187678829e-14
1.275000000000000092e-02,3.000042334018474435e+02,3.822275931993565634e-01,1.413723081722392101e-05,4.275985522522974015e-21,1.491111875426601000e-12,2.201374556331729127e-01,3.898058904140483465e-15,3.228899640392514835e-07,6.508469769809931859e-10,3.643630229948612595e-10,-6.369964204224329842e-23,-1.688372205779823146e-23,-1.437004309162604199e-21,-1.471665112564541744e-23,3.257170515274732610e-11,5.518603317965581345e-02,4.546602001190057274e-08,2.178668929024422643e-09,-1.738554321952169776e-21,2.754927749439605840e-10,-4.597021724589087277e-22,1.124935759332173065e-14,4.111654795738209114e-11,-4.554160656905184097e-23,8.017309192692456487e-12,-3.704572167836344361e-22,5.637325736554971247e-11,-2.943036954461087503e-17,6.800696042395585764e-11,-5.183940115602788759e-21,1.189270204905598212e-12,1.595946487708435186e-14,-7.735527370772691795e-17,-3.899004639672111096e-19,5.295128412532823044e-13,1.070885279143744509e-13,-4.759189375727392965e-23,3.004878203322129588e-12,2.522585981847482856e-12,3.853654928236550862e-15,2.687862318937378164e-14,-1.591212595206362229e-22,1.213621229899952521e-13,-4.358982724596264603e-14,-3.521782799396466052e-22,3.855383333896153379e-15,-2.455633410277098491e-17,2.880888700061110606e-14,3.492412850948016043e-14,7.246620019159074610e-01,-9.203489925763785386e-17,-7.449283444349035182e-13,1.085477260417884435e-13,-7.181473258682487235e-20,5.867667691514736911e-13
1.300000000000000114e-02,3.000211764246830057e+02,3.823232023491562326e-01,2.932214311028113099e-05,9.478655736743194803e-20,5.803336423073391890e-12,2.201328304180599493e-01,6.595841505820496469e-14,1.602473939806586406e-06,3.463187583867706174e-09,1.951244958183339471e-09,2.854061428595399191e-22,7.545323026253525597e-23,6.955879782395599898e-21,9.045003202237475476e-23,1.254277977760357136e-10,5.518502642445897305e-02,2.425362246988189772e-07,1.471668492341912675e-08,1.195841005922327879e-20,1.876442127354990277e-09,2.098769401892466599e-21,2.329400170106603313e-13,2.850307061908854494e-10,2.020574839900070142e-22,5.164466057135721464e-11,1.660497881782930592e-21,3.734141526842407255e-10,-1.366160610711411316e-16,5.411305599553347123e-10,2.349644913245535437e-20,9.308136512070534495e-12,2.034393766307774972e-14,7.101326100161506329e-18,1.204263435512503712e-18,1.924438197801730765e-12,5.315876152139999813e-13,2.125064713245031358e-22,1.359653405567470411e-11,1.526566683997941180e-11,2.370211881155820982e-14,6.513589145520518231e-14,7.099272976688376891e-22,8.294444729293420635e-13,-4.259820050049798753e-14,1.573830399852511787e-21,2.670498116770295705e-14,2.941440296433634762e-16,2.531284025018462723e-13,3.549784213452977400e-14,7.246509525675255414e-01,-8.102561935880664012e-17,-7.425466287007963388e-13,6.657044094804535138e-13,4.447740495446112935e-19,4.609244948276802936e-12
1.312500000000000125e-02,3.000566547662397738e+02,3.824396411169322940e-01,4.389172994750905043e-05,7.423113478980793633e-19,1.275580360494732917e-11,2.201274751533549290e-01,5.576569960524450677e-13,4.264194213606313647e-06,9.700384729421776490e-09,5.487617883217665773e-09,-1.981193558260686293e-21,-5.234107086998319101e-22,-3.474573729138576508e-20,2.859943534251382265e-23,3.183662261782265456e-10,5.518355213637287510e-02,6.803285366341791142e-07,4.932019813335041968e-08,-1.036359181033927313e-20,6.335516638140929338e-09,-1.364691462478405602e-20,2.015883450546657395e-12,9.749643061655309416e-10,-1.407728989916212734e-21,1.667729507687200296e-10,-1.151904498604297809e-20,1.236100146838472425e-09,-3.335241576408789071e-16,1.919522854053625562e-09,-1.579375544522209755e-19,3.489149612301744709e-11,3.403002746258336737e-14,1.118988292246726126e-16,-8.154960258281668137e-18,4.107136273798156327e-12,1.432109598666837909e-12,-1.479951843583123832e-21,3.727929075110591989e-11,4.771184762120379549e-11,7.874725742486216988e-14,1.502608171789143157e-13,-4.955113576444374918e-21,2.827117017914129820e-12,-3.986911025947096213e-14,-1.099133701762819486e-20,8.986826577645832336e-14,1.044097082972200974e-15,8.743805894362041286e-13,3.679280828283300098e-14,7.246400608339914617e-01,-1.793682795838049321e-16,-7.386645844706012840e-13,2.683372663359267413e-12,-1.424974677030862894e-18,1.738217084374840816e-11
